"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","Unique.ID"
"8b5127cf72a7aada8634b23014f94c2f","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","",0.944420281,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_Polaribacter"
"8b555eb8c46c67db1fec3f822c52a687","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","","",1,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade__"
"8b59d48605e2527b44f25225bcf643e3","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","uncultured_marine",0.977022263,"Bacteria_Proteobacteria_Gammaproteobacteria_Coxiellales_Coxiellaceae_Coxiella"
"8b658623447af832a5929d9d8a65cc3c","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","",0.999999859,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Crocinitomicaceae_Fluviicola"
"8b68514b5f0622c537ad83891f709f3b","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","","",1,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade__"
"8b730ccfdd7510ee71b41155d61c2103","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas","",0.999998546,"Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Thiotrichaceae_Cocleimonas"
"8b75916623fb50f1e12067ddbc64368f","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","","",0.999101945,"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_"
"8b7736e3e3fa72740c203691e6f76a83","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","WCHB1-41","WCHB1-41","",0.994997056,"Bacteria_Verrucomicrobiota_Kiritimatiellae_WCHB1-41_WCHB1-41_WCHB1-41"
"8b90f6d05ce9db3fc67a40120df17a70","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella","uncultured_Antarctic",0.923141756,"Bacteria_Proteobacteria_Gammaproteobacteria_Arenicellales_Arenicellaceae_Arenicella"
"8ba5f0fd4000833a2bd943c11c1ba263","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","","","",0.950298017,"Archaea_Nanoarchaeota_Nanoarchaeia_Woesearchaeales__"
"8baeebb9cca31b0dab6837f28cf3c4a4","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","uncultured","uncultured_planctomycete",0.999399388,"Bacteria_Planctomycetota_Planctomycetes_Planctomycetales_Gimesiaceae_uncultured"
"8bb62a740a650d99155585e3a791f2da","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","","",0.995577649,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Clade_I_"
"8bc19f2e4447a9bf5345397ef103a239","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","hydrothermal_vent",0.960989312,"Bacteria_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)"
"8bd94d0c142d6d54d5f91da3c987df6f","Bacteria","Proteobacteria","","","","","",0.994673782,"Bacteria_Proteobacteria____"
"8beed33c867d318af0029a4edde80aeb","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus","",0.999999974,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Cryomorphaceae_Vicingus"
"8bf4785283f11a8dfea04d39771e586d","Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","uncultured_bacterium",0.999951449,"Bacteria_Margulisbacteria_Margulisbacteria_Margulisbacteria_Margulisbacteria_Margulisbacteria"
"8bfd9ae054713a4c403c11d9ac8e24db","Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales","Woesearchaeales","",0.999987875,"Archaea_Nanoarchaeota_Nanoarchaeia_Woesearchaeales_Woesearchaeales_Woesearchaeales"
"8bfde5254b8c7370836290ea9b891c07","Bacteria","","","","","","",0.999949464,"Bacteria_____"
"8c09dd3651e30e5e0acefde97dfd1698","Bacteria","Actinobacteriota","Actinobacteria","","","","",0.968813975,"Bacteria_Actinobacteriota_Actinobacteria___"
"8c17c8d6a97f819467c9f3b7dde3fd4b","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","uncultured_bacterium",0.995332884,"Bacteria_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)"
"8c226987a02d993463bd87ded6d103db","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","","",0.99997779,"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_"
"8c2433856d7b4e4d4e0e5f153abe9efa","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia","",0.985564512,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Clade_I_Clade_Ia"
"8c47d8f480cc4589df0b6dee940e181b","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","","",1,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade__"
"8c5868e757d48c02d6a203c19a41252d","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2","",0.999913223,"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidetes_BD2-2_Bacteroidetes_BD2-2"
"8c59cf2191bd02971b61cbe2b84a7595","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","",0.999999811,"Bacteria_Gemmatimonadota_Gemmatimonadetes_Gemmatimonadales_Gemmatimonadaceae_uncultured"
"8c5e5ff1cced57736999352c83ed9e6f","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfobacteraceae","uncultured","uncultured_bacterium",0.928957657,"Bacteria_Desulfobacterota_Desulfobacteria_Desulfobacterales_Desulfobacteraceae_uncultured"
"8c6099b181fa55b03a3f2da5bdbe86ab","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","","",0.99999996,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_"
"8c6bee849574cca5529c7fc5109458fe","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","","",0.998563147,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Clade_I_"
