Cruise,StationID,SAMPLE_ID,Sample_Name_Final,Location,Depth_m,BottomDepth_m_,Date_yyyy_mm_dd_,Lat_dd_ddddN_,Lon_dd_ddddE_,Transect,Month,Year,Distance_from_glacier,Salinity_PSU,NO3_uM,NO2_uM,PO4_uM,NH3_uM,SiO4_uM,Temp_C,CTD.depth,Dis_O2_Conc,Turbidity_NTU,ChlA_ug_L,N2,rho,Upwelling.Classification
A2108,JS46b,JS46b_5,Jakeman_46b_5_2021,Jakeman,5,60,8/28/21,76.4231,-80.98564,Jakeman_out,August,2021,3.667,31.29272219,0.55,0.01,0.46,0,2.34,1.97491062,5,328.1385662,0.841985529,0.634928385,3.15E-05,1025.031919,No upwelling
A2108,JS5,JS5_20,Jakeman_5_20_2021,Jakeman,20,38,8/8/21,76.45033,-80.90704,Jakeman_practice,August,2021,0.247,32.06216976,1.67,0.02,0.66,0.75,NA,-0.127302193,20,342.3579132,2.453784642,0.534714994,0.000176825,1025.840462,No upwelling
A2108,JS50,JS50_20,Jakeman_50_20_2021,Jakeman,20,175,8/28/21,76.40201,-81.05327,Jakeman_out,August,2021,6.601,31.86883497,NA,NA,NA,NA,NA,0.966506033,20,331.3043808,0.191969438,0.412105907,0.000359569,1025.628931,No upwelling
A2108,JS50,JS50_5,Jakeman_50_5_2021,Jakeman,5,175,8/28/21,76.40201,-81.05327,Jakeman_out,August,2021,6.601,31.35569862,NA,NA,NA,NA,NA,1.765099265,5,328.6545399,0.462162827,0.685966261,0.000198815,1025.09654,No upwelling
V2108,JS14,JS14_1,Jones_Sound_14_28_2021,Jones Sound,28,800,8/18/21,76.10733,-83.26508,Jones Sound,August,2021,35.556,31.90988119,0.51,0.01,0.56,0.03,2.78,0.137735598,28,408.197451,0.730906631,9.900204976,0.000651324,1025.743909,"Open Water, upper 50m"
V2108,JS14,JS14_3,Jones_Sound_14_300_2021,Jones Sound,300,800,8/18/21,76.10733,-83.26508,Jones Sound,August,2021,35.556,34.02324469,13.14,0.01,1.02,0,19.73,-0.191254415,300,258.6978942,0.031988853,0.077177185,1.55E-05,1028.762104,Below 50m
A2108,JS2,JS2_100,Jones_Sound_2_100_2021,Jones Sound,100,350,8/7/21,76.41322,-82.97484,Jones _Sound_Practice,August,2021,1.72,33.02779647,NA,0.11,1.22,0.48,20.2,-1.148980713,100,303.1599586,0.158241781,0.340793217,6.23E-05,1027.045821,Below 50m
A2108,JS2,JS2_5,Jones_Sound_2_5_2021,Jones Sound,5,350,8/7/21,76.41322,-82.97484,Jones _Sound_Practice,August,2021,1.72,29.50118994,0.79,0.01,0.32,1.56,2.04,1.916474429,5,381.3461288,0.131853508,0.247337341,0.002977927,1023.601295,"Open Water, upper 50m"
A2108,DSW,DSW,Jones_Sound_DSW_350_2021,Jones Sound,350,350,NA,NA,NA,Grise_incubation,August,2021,2.89,34.05854357,14.08,0.01,1.1,0,21.5,-0.148335524,300,258.9174478,0.036610921,0.07709239,1.08E-05,1028.788059,Below 50m
A2108,SSW,SSW,Jones_Sound_SSW_5_2021,Jones Sound,5,350,NA,NA,NA,Grise_incubation,August,2021,2.89,31.07101691,0.22,0.04,0.42,0.23,1.57,2.589773183,5,358.269372,0.283447266,0.130521878,0.000337948,1024.810704,"Open Water, upper 50m"
V2208,JSDT_B,JSDT_4,Jones_Sound_Deep_15_2022,Jones Sound Deepest,15,876,8/28/22,76.13797,-82.53483,Jones Sound Deepest Point,August,2022,32.439,29.79819798,0.07,0,0.42,0.1,1.86,0.846477509,15,361.588768,-0.036437988,1.394256592,0.000897692,1023.948873,"Open Water, upper 50m"
V2208,JSDT_B,JSDT_3,Jones_Sound_Deep_40_2022,Jones Sound Deepest,40,876,8/28/22,76.13797,-82.53483,Jones Sound Deepest Point,August,2022,32.439,31.38645808,0.94,0.04,0.47,0.63,2.97,-0.267018636,40,369.1444829,-0.143208822,0.198430379,0.000797258,1025.397324,"Open Water, upper 50m"
V2208,JSDT_B,JSDT_1,Jones_Sound_Deep_500_2022,Jones Sound Deepest,500,876,8/28/22,76.13797,-82.53483,Jones Sound Deepest Point,August,2022,32.439,34.26707398,14.83,0.01,1.05,0,23.35,0.239697543,500,267.4337623,-0.139071378,0.107677113,3.78E-06,1029.876901,Below 50m
V2208,OG,OG2,Jones_Sound_OG_100_2022,OG,100,629,8/29/22,76.36482,-82.98248,OG,August,2022,5.5,32.72526932,5.15,0.06,0.94,1.21,10.49,-1.266225179,100,329.1555278,-0.108703613,0.13117981,2.62E-05,1026.805,Below 50m
